Enter to start.
Steppers ready.
Wavelength: 980nm
Warming up the ADCs.
5V power supply measured at 4.83V
3.3V power supply measured at 3.30V
2.5V power supply measured at 2.42V
1.8V power supply measured at 1.83V
Power supplies good.
Problem: check laser aim and reset.
Enter to start.
Steppers ready.
Wavelength: 980nm
Warming up the ADCs.
5V power supply measured at 4.83V
3.3V power supply measured at 3.31V
2.5V power supply measured at 2.42V
1.8V power supply measured at 1.83V
Power supplies good.
Aiming is good.
Scanned area is 1.00 by 1.00 mm. Resolution is 20 µm.

Legend: run_number,wavelength,bus_voltage,pullup_value,x_position,y_position,measured_bus_voltage

1,980nm,5V,1kΩ,-0.50,-0.50,4.48
1,980nm,5V,1kΩ,-0.50,-0.48,4.42
1,980nm,5V,1kΩ,-0.50,-0.46,4.42
1,980nm,5V,1kΩ,-0.50,-0.44,4.42
1,980nm,5V,1kΩ,-0.50,-0.42,4.42
1,980nm,5V,1kΩ,-0.50,-0.40,4.42
1,980nm,5V,1kΩ,-0.50,-0.38,4.42
1,980nm,5V,1kΩ,-0.50,-0.36,4.42
1,980nm,5V,1kΩ,-0.50,-0.34,4.42
1,980nm,5V,1kΩ,-0.50,-0.32,4.42
1,980nm,5V,1kΩ,-0.50,-0.30,4.42
1,980nm,5V,1kΩ,-0.50,-0.28,4.42
1,980nm,5V,1kΩ,-0.50,-0.26,4.42
1,980nm,5V,1kΩ,-0.50,-0.24,4.42
1,980nm,5V,1kΩ,-0.50,-0.22,4.42
1,980nm,5V,1kΩ,-0.50,-0.20,4.42
1,980nm,5V,1kΩ,-0.50,-0.18,4.42
1,980nm,5V,1kΩ,-0.50,-0.16,4.42
1,980nm,5V,1kΩ,-0.50,-0.14,4.42
1,980nm,5V,1kΩ,-0.50,-0.12,4.42
1,980nm,5V,1kΩ,-0.50,-0.10,4.42
1,980nm,5V,1kΩ,-0.50,-0.08,4.42
1,980nm,5V,1kΩ,-0.50,-0.06,4.42
1,980nm,5V,1kΩ,-0.50,-0.04,4.42
1,980nm,5V,1kΩ,-0.50,-0.02,4.42
1,980nm,5V,1kΩ,-0.50,0.00,4.42
1,980nm,5V,1kΩ,-0.50,0.02,4.42
1,980nm,5V,1kΩ,-0.50,0.04,4.42
1,980nm,5V,1kΩ,-0.50,0.06,4.42
1,980nm,5V,1kΩ,-0.50,0.08,4.43
1,980nm,5V,1kΩ,-0.50,0.10,4.42
1,980nm,5V,1kΩ,-0.50,0.12,4.42
1,980nm,5V,1kΩ,-0.50,0.14,4.42
1,980nm,5V,1kΩ,-0.50,0.16,4.42
1,980nm,5V,1kΩ,-0.50,0.18,4.43
1,980nm,5V,1kΩ,-0.50,0.20,4.42
1,980nm,5V,1kΩ,-0.50,0.22,4.43
1,980nm,5V,1kΩ,-0.50,0.24,4.43
1,980nm,5V,1kΩ,-0.50,0.26,4.43
1,980nm,5V,1kΩ,-0.50,0.28,4.42
1,980nm,5V,1kΩ,-0.50,0.30,4.42
1,980nm,5V,1kΩ,-0.50,0.32,4.43
1,980nm,5V,1kΩ,-0.50,0.34,4.42
1,980nm,5V,1kΩ,-0.50,0.36,4.42
1,980nm,5V,1kΩ,-0.50,0.38,4.43
1,980nm,5V,1kΩ,-0.50,0.40,4.43
1,980nm,5V,1kΩ,-0.50,0.42,4.43
1,980nm,5V,1kΩ,-0.50,0.44,4.43
1,980nm,5V,1kΩ,-0.50,0.46,4.42
1,980nm,5V,1kΩ,-0.50,0.48,4.43
1,980nm,5V,1kΩ,-0.48,-0.50,4.48
1,980nm,5V,1kΩ,-0.48,-0.48,4.43
1,980nm,5V,1kΩ,-0.48,-0.46,4.43
1,980nm,5V,1kΩ,-0.48,-0.44,4.43
1,980nm,5V,1kΩ,-0.48,-0.42,4.43
1,980nm,5V,1kΩ,-0.48,-0.40,4.42
1,980nm,5V,1kΩ,-0.48,-0.38,4.43
1,980nm,5V,1kΩ,-0.48,-0.36,4.42
1,980nm,5V,1kΩ,-0.48,-0.34,4.43
1,980nm,5V,1kΩ,-0.48,-0.32,4.43
1,980nm,5V,1kΩ,-0.48,-0.30,4.42
1,980nm,5V,1kΩ,-0.48,-0.28,4.43
1,980nm,5V,1kΩ,-0.48,-0.26,4.43
1,980nm,5V,1kΩ,-0.48,-0.24,4.43
1,980nm,5V,1kΩ,-0.48,-0.22,4.42
1,980nm,5V,1kΩ,-0.48,-0.20,4.42
1,980nm,5V,1kΩ,-0.48,-0.18,4.42
1,980nm,5V,1kΩ,-0.48,-0.16,4.43
1,980nm,5V,1kΩ,-0.48,-0.14,4.42
1,980nm,5V,1kΩ,-0.48,-0.12,4.43
1,980nm,5V,1kΩ,-0.48,-0.10,4.43
1,980nm,5V,1kΩ,-0.48,-0.08,4.43
1,980nm,5V,1kΩ,-0.48,-0.06,4.43
1,980nm,5V,1kΩ,-0.48,-0.04,4.43
1,980nm,5V,1kΩ,-0.48,-0.02,4.43
1,980nm,5V,1kΩ,-0.48,0.00,4.43
1,980nm,5V,1kΩ,-0.48,0.02,4.43
1,980nm,5V,1kΩ,-0.48,0.04,4.43
1,980nm,5V,1kΩ,-0.48,0.06,4.43
1,980nm,5V,1kΩ,-0.48,0.08,4.42
1,980nm,5V,1kΩ,-0.48,0.10,4.42
1,980nm,5V,1kΩ,-0.48,0.12,4.43
1,980nm,5V,1kΩ,-0.48,0.14,4.42
1,980nm,5V,1kΩ,-0.48,0.16,4.43
1,980nm,5V,1kΩ,-0.48,0.18,4.43
1,980nm,5V,1kΩ,-0.48,0.20,4.43
1,980nm,5V,1kΩ,-0.48,0.22,4.43
1,980nm,5V,1kΩ,-0.48,0.24,4.43
1,980nm,5V,1kΩ,-0.48,0.26,4.43
1,980nm,5V,1kΩ,-0.48,0.28,4.43
1,980nm,5V,1kΩ,-0.48,0.30,4.43
1,980nm,5V,1kΩ,-0.48,0.32,4.43
1,980nm,5V,1kΩ,-0.48,0.34,4.43
1,980nm,5V,1kΩ,-0.48,0.36,4.43
1,980nm,5V,1kΩ,-0.48,0.38,4.43
1,980nm,5V,1kΩ,-0.48,0.40,4.43
1,980nm,5V,1kΩ,-0.48,0.42,4.43
1,980nm,5V,1kΩ,-0.48,0.44,4.43
1,980nm,5V,1kΩ,-0.48,0.46,4.43
1,980nm,5V,1kΩ,-0.48,0.48,4.43
1,980nm,5V,1kΩ,-0.46,-0.50,4.48
1,980nm,5V,1kΩ,-0.46,-0.48,4.43
1,980nm,5V,1kΩ,-0.46,-0.46,4.43
1,980nm,5V,1kΩ,-0.46,-0.44,4.43
1,980nm,5V,1kΩ,-0.46,-0.42,4.43
1,980nm,5V,1kΩ,-0.46,-0.40,4.43
1,980nm,5V,1kΩ,-0.46,-0.38,4.43
1,980nm,5V,1kΩ,-0.46,-0.36,4.43
1,980nm,5V,1kΩ,-0.46,-0.34,4.43
1,980nm,5V,1kΩ,-0.46,-0.32,4.43
1,980nm,5V,1kΩ,-0.46,-0.30,4.43
1,980nm,5V,1kΩ,-0.46,-0.28,4.43
1,980nm,5V,1kΩ,-0.46,-0.26,4.43
1,980nm,5V,1kΩ,-0.46,-0.24,4.43
1,980nm,5V,1kΩ,-0.46,-0.22,4.43
1,980nm,5V,1kΩ,-0.46,-0.20,4.43
1,980nm,5V,1kΩ,-0.46,-0.18,4.43
1,980nm,5V,1kΩ,-0.46,-0.16,4.43
1,980nm,5V,1kΩ,-0.46,-0.14,4.43
1,980nm,5V,1kΩ,-0.46,-0.12,4.43
1,980nm,5V,1kΩ,-0.46,-0.10,4.43
1,980nm,5V,1kΩ,-0.46,-0.08,4.43
1,980nm,5V,1kΩ,-0.46,-0.06,4.43
1,980nm,5V,1kΩ,-0.46,-0.04,4.43
1,980nm,5V,1kΩ,-0.46,-0.02,4.43
1,980nm,5V,1kΩ,-0.46,0.00,4.43
1,980nm,5V,1kΩ,-0.46,0.02,4.43
1,980nm,5V,1kΩ,-0.46,0.04,4.43
1,980nm,5V,1kΩ,-0.46,0.06,4.42
1,980nm,5V,1kΩ,-0.46,0.08,4.43
1,980nm,5V,1kΩ,-0.46,0.10,4.43
1,980nm,5V,1kΩ,-0.46,0.12,4.43
1,980nm,5V,1kΩ,-0.46,0.14,4.43
1,980nm,5V,1kΩ,-0.46,0.16,4.43
1,980nm,5V,1kΩ,-0.46,0.18,4.43
1,980nm,5V,1kΩ,-0.46,0.20,4.43
1,980nm,5V,1kΩ,-0.46,0.22,4.43
1,980nm,5V,1kΩ,-0.46,0.24,4.43
1,980nm,5V,1kΩ,-0.46,0.26,4.43
1,980nm,5V,1kΩ,-0.46,0.28,4.43
1,980nm,5V,1kΩ,-0.46,0.30,4.43
1,980nm,5V,1kΩ,-0.46,0.32,4.43
1,980nm,5V,1kΩ,-0.46,0.34,4.43
1,980nm,5V,1kΩ,-0.46,0.36,4.43
1,980nm,5V,1kΩ,-0.46,0.38,4.43
1,980nm,5V,1kΩ,-0.46,0.40,4.43
1,980nm,5V,1kΩ,-0.46,0.42,4.43
1,980nm,5V,1kΩ,-0.46,0.44,4.43
1,980nm,5V,1kΩ,-0.46,0.46,4.43
1,980nm,5V,1kΩ,-0.46,0.48,4.43
1,980nm,5V,1kΩ,-0.44,-0.50,4.48
1,980nm,5V,1kΩ,-0.44,-0.48,4.43
1,980nm,5V,1kΩ,-0.44,-0.46,4.43
1,980nm,5V,1kΩ,-0.44,-0.44,4.43
1,980nm,5V,1kΩ,-0.44,-0.42,4.43
1,980nm,5V,1kΩ,-0.44,-0.40,4.43
1,980nm,5V,1kΩ,-0.44,-0.38,4.43
1,980nm,5V,1kΩ,-0.44,-0.36,4.43
1,980nm,5V,1kΩ,-0.44,-0.34,4.43
1,980nm,5V,1kΩ,-0.44,-0.32,4.43
1,980nm,5V,1kΩ,-0.44,-0.30,4.43
1,980nm,5V,1kΩ,-0.44,-0.28,4.43
1,980nm,5V,1kΩ,-0.44,-0.26,4.43
1,980nm,5V,1kΩ,-0.44,-0.24,4.43
1,980nm,5V,1kΩ,-0.44,-0.22,4.43
1,980nm,5V,1kΩ,-0.44,-0.20,4.43
1,980nm,5V,1kΩ,-0.44,-0.18,4.43
1,980nm,5V,1kΩ,-0.44,-0.16,4.43
1,980nm,5V,1kΩ,-0.44,-0.14,4.43
1,980nm,5V,1kΩ,-0.44,-0.12,4.43
1,980nm,5V,1kΩ,-0.44,-0.10,4.43
1,980nm,5V,1kΩ,-0.44,-0.08,4.42
1,980nm,5V,1kΩ,-0.44,-0.06,4.43
1,980nm,5V,1kΩ,-0.44,-0.04,4.43
1,980nm,5V,1kΩ,-0.44,-0.02,4.43
1,980nm,5V,1kΩ,-0.44,0.00,4.43
1,980nm,5V,1kΩ,-0.44,0.02,4.43
1,980nm,5V,1kΩ,-0.44,0.04,4.43
1,980nm,5V,1kΩ,-0.44,0.06,4.43
1,980nm,5V,1kΩ,-0.44,0.08,4.43
1,980nm,5V,1kΩ,-0.44,0.10,4.42
1,980nm,5V,1kΩ,-0.44,0.12,4.43
1,980nm,5V,1kΩ,-0.44,0.14,4.43
1,980nm,5V,1kΩ,-0.44,0.16,4.43
1,980nm,5V,1kΩ,-0.44,0.18,4.43
1,980nm,5V,1kΩ,-0.44,0.20,4.43
1,980nm,5V,1kΩ,-0.44,0.22,4.43
1,980nm,5V,1kΩ,-0.44,0.24,4.43
1,980nm,5V,1kΩ,-0.44,0.26,4.43
1,980nm,5V,1kΩ,-0.44,0.28,4.43
1,980nm,5V,1kΩ,-0.44,0.30,4.43
1,980nm,5V,1kΩ,-0.44,0.32,4.43
1,980nm,5V,1kΩ,-0.44,0.34,4.43
1,980nm,5V,1kΩ,-0.44,0.36,4.43
1,980nm,5V,1kΩ,-0.44,0.38,4.43
1,980nm,5V,1kΩ,-0.44,0.40,4.43
1,980nm,5V,1kΩ,-0.44,0.42,4.43
1,980nm,5V,1kΩ,-0.44,0.44,4.43
1,980nm,5V,1kΩ,-0.44,0.46,4.43
1,980nm,5V,1kΩ,-0.44,0.48,4.43
1,980nm,5V,1kΩ,-0.42,-0.50,4.48
1,980nm,5V,1kΩ,-0.42,-0.48,4.43
1,980nm,5V,1kΩ,-0.42,-0.46,4.43
1,980nm,5V,1kΩ,-0.42,-0.44,4.43
1,980nm,5V,1kΩ,-0.42,-0.42,4.43
1,980nm,5V,1kΩ,-0.42,-0.40,4.43
1,980nm,5V,1kΩ,-0.42,-0.38,4.43
1,980nm,5V,1kΩ,-0.42,-0.36,4.43
1,980nm,5V,1kΩ,-0.42,-0.34,4.43
1,980nm,5V,1kΩ,-0.42,-0.32,4.43
1,980nm,5V,1kΩ,-0.42,-0.30,4.43
1,980nm,5V,1kΩ,-0.42,-0.28,4.43
1,980nm,5V,1kΩ,-0.42,-0.26,4.43
1,980nm,5V,1kΩ,-0.42,-0.24,4.43
1,980nm,5V,1kΩ,-0.42,-0.22,4.43
1,980nm,5V,1kΩ,-0.42,-0.20,4.43
1,980nm,5V,1kΩ,-0.42,-0.18,4.43
1,980nm,5V,1kΩ,-0.42,-0.16,4.43
1,980nm,5V,1kΩ,-0.42,-0.14,4.43
1,980nm,5V,1kΩ,-0.42,-0.12,4.43
1,980nm,5V,1kΩ,-0.42,-0.10,4.43
1,980nm,5V,1kΩ,-0.42,-0.08,4.43
1,980nm,5V,1kΩ,-0.42,-0.06,4.43
1,980nm,5V,1kΩ,-0.42,-0.04,4.43
1,980nm,5V,1kΩ,-0.42,-0.02,4.43
1,980nm,5V,1kΩ,-0.42,0.00,4.43
1,980nm,5V,1kΩ,-0.42,0.02,4.43
1,980nm,5V,1kΩ,-0.42,0.04,4.43
1,980nm,5V,1kΩ,-0.42,0.06,4.43
1,980nm,5V,1kΩ,-0.42,0.08,4.43
1,980nm,5V,1kΩ,-0.42,0.10,4.43
1,980nm,5V,1kΩ,-0.42,0.12,4.43
1,980nm,5V,1kΩ,-0.42,0.14,4.43
1,980nm,5V,1kΩ,-0.42,0.16,4.43
1,980nm,5V,1kΩ,-0.42,0.18,4.43
1,980nm,5V,1kΩ,-0.42,0.20,4.43
1,980nm,5V,1kΩ,-0.42,0.22,4.43
1,980nm,5V,1kΩ,-0.42,0.24,4.43
1,980nm,5V,1kΩ,-0.42,0.26,4.43
1,980nm,5V,1kΩ,-0.42,0.28,4.43
1,980nm,5V,1kΩ,-0.42,0.30,4.43
1,980nm,5V,1kΩ,-0.42,0.32,4.43
1,980nm,5V,1kΩ,-0.42,0.34,4.43
1,980nm,5V,1kΩ,-0.42,0.36,4.43
1,980nm,5V,1kΩ,-0.42,0.38,4.43
1,980nm,5V,1kΩ,-0.42,0.40,4.43
1,980nm,5V,1kΩ,-0.42,0.42,4.43
1,980nm,5V,1kΩ,-0.42,0.44,4.43
1,980nm,5V,1kΩ,-0.42,0.46,4.43
1,980nm,5V,1kΩ,-0.42,0.48,4.43
1,980nm,5V,1kΩ,-0.40,-0.50,4.48
1,980nm,5V,1kΩ,-0.40,-0.48,4.43
1,980nm,5V,1kΩ,-0.40,-0.46,4.43
1,980nm,5V,1kΩ,-0.40,-0.44,4.43
1,980nm,5V,1kΩ,-0.40,-0.42,4.43
1,980nm,5V,1kΩ,-0.40,-0.40,4.43
1,980nm,5V,1kΩ,-0.40,-0.38,4.43
1,980nm,5V,1kΩ,-0.40,-0.36,4.43
1,980nm,5V,1kΩ,-0.40,-0.34,4.43
1,980nm,5V,1kΩ,-0.40,-0.32,4.43
1,980nm,5V,1kΩ,-0.40,-0.30,4.43
1,980nm,5V,1kΩ,-0.40,-0.28,4.43
1,980nm,5V,1kΩ,-0.40,-0.26,4.43
1,980nm,5V,1kΩ,-0.40,-0.24,4.43
1,980nm,5V,1kΩ,-0.40,-0.22,4.43
1,980nm,5V,1kΩ,-0.40,-0.20,4.43
1,980nm,5V,1kΩ,-0.40,-0.18,4.43
1,980nm,5V,1kΩ,-0.40,-0.16,4.43
1,980nm,5V,1kΩ,-0.40,-0.14,4.43
1,980nm,5V,1kΩ,-0.40,-0.12,4.43
1,980nm,5V,1kΩ,-0.40,-0.10,4.43
1,980nm,5V,1kΩ,-0.40,-0.08,4.43
